cluster,num_elementos,media_latitud,media_longitud,max_hora,min_hora,id_estacion_proxima,longitud_estacion,latitud_estacion,suma_intensidad,probabilidad_accidente,geometry_accidente,geometry_estacion,osmid_acc,dist_acc,osmid_est,dist_est
135,12,40.48454869394056,-3.654613390733715,970,750,6627,-3.6519762423353654,40.485865695661175,121625,9.86639260020555e-05,POINT (-3.654613390733715 40.48454869394056),POINT (-3.6519762423353654 40.485865695661175),"[15241769, 1354652366, 15241775]",4097.224034035121,"[15241769, 1354652366, 15241775]",4134.834900038964
136,16,40.44442777632748,-3.731821139761026,1106,235,9920,-3.7306878629198597,40.44723240867316,3037854,5.266875893311529e-06,POINT (-3.731821139761026 40.44442777632748),POINT (-3.7306878629198597 40.44723240867316),"[15241769, 1354652366, 15241775]",4112.394720433272,"[15241769, 1354652366, 15241775]",4053.944304425748
144,17,40.44222433480247,-3.7390292189280494,1175,455,6767,-3.739627310755131,40.44397741507996,12329169,1.378843943172488e-06,POINT (-3.7390292189280494 40.44222433480247),POINT (-3.739627310755131 40.44397741507996),655440028,5659.0414261679825,655440028,5054.753160424891
148,38,40.43127871146059,-3.737401239174158,1425,360,6690,-3.7374993801173906,40.432080223247624,35716449,1.0639355552955446e-06,POINT (-3.737401239174158 40.43127871146059),POINT (-3.7374993801173906 40.432080223247624),"[15241769, 1354652366, 15241775]",6090.276939470895,"[15241769, 1354652366, 15241775]",6219.431010292019
164,21,40.371993631963264,-3.6280174156703167,1295,10,5201,-3.628224103538999,40.37876987431243,4704236,4.464061752003938e-06,POINT (-3.6280174156703167 40.371993631963264),POINT (-3.628224103538999 40.37876987431243),655440028,6309.931700967456,655440028,6309.8278330616695
172,44,40.461814563512,-3.6361514784014988,1425,450,10139,-3.636266330174142,40.462724325646306,7091133,6.20493227245914e-06,POINT (-3.6361514784014988 40.461814563512),POINT (-3.636266330174142 40.462724325646306),655440028,7526.911980408282,655440028,6978.76636734398
173,47,40.46324868990435,-3.6212281297065387,1320,15,10869,-3.6246044835973823,40.462798117936,80,0.5875,POINT (-3.6212281297065387 40.46324868990435),POINT (-3.6246044835973823 40.462798117936),655440028,7645.835864914244,655440028,6978.76636734398
174,16,40.46986524110268,-3.638638488140921,1296,162,6309,-3.6392210414132524,40.47097168080082,4210733,3.7998134766559645e-06,POINT (-3.638638488140921 40.46986524110268),POINT (-3.6392210414132524 40.47097168080082),655440028,7645.835864914244,655440028,7668.4916652106
185,16,40.4635660972135,-3.629534879100434,1300,605,10150,-3.6297029268802143,40.463208315928654,1079160,1.4826346417584046e-05,POINT (-3.629534879100434 40.4635660972135),POINT (-3.6297029268802143 40.463208315928654),302644186,6452.493158178957,302644186,5666.596375644871
187,14,40.46906672430934,-3.6346837512206647,1180,820,11020,-3.635180784205586,40.4687223281973,4951431,2.827465433730168e-06,POINT (-3.6346837512206647 40.46906672430934),POINT (-3.635180784205586 40.4687223281973),"[15241769, 1354652366, 15241775]",5760.557734424626,"[15241769, 1354652366, 15241775]",5541.678513422102
188,30,40.40017686004759,-3.6051888020103635,1350,30,3695,-3.604825395076697,40.4040262511688,2180654,1.3757340687701946e-05,POINT (-3.6051888020103635 40.40017686004759),POINT (-3.604825395076697 40.4040262511688),"[15241769, 1354652366, 15241775]",5968.297326501828,"[15241769, 1354652366, 15241775]",5742.533290325718
189,26,40.465480026226615,-3.6360314882211955,1365,240,6240,-3.636535750078756,40.46633851527474,4756135,5.466623634526774e-06,POINT (-3.6360314882211955 40.465480026226615),POINT (-3.636535750078756 40.46633851527474),"[15241769, 1354652366, 15241775]",6215.169064913262,"[15241769, 1354652366, 15241775]",5742.533290325718
190,11,40.4651314182451,-3.639103465956161,1265,95,6227,-3.6381270262772007,40.465214478809415,3553024,3.0959543194754664e-06,POINT (-3.639103465956161 40.4651314182451),POINT (-3.6381270262772007 40.465214478809415),"[15241769, 1354652366, 15241775]",6009.871472341656,"[15241769, 1354652366, 15241775]",6281.928102369186
191,29,40.4027489160418,-3.596994768846296,1295,300,6217,-3.596059497268352,40.402602160516004,5113230,5.671561811223043e-06,POINT (-3.596994768846296 40.4027489160418),POINT (-3.596059497268352 40.402602160516004),"[15241769, 1354652366, 15241775]",5938.187074235932,"[15241769, 1354652366, 15241775]",6219.431010292019
